edge(s104t3word53,V2)	-edge(s104t3word53,s104t1word355)	+edge(s104t3word53,s104t2word682)	-edge(s104t3word53,s104t4word43)	-edge(s104t3word53,s104t5word683)	-edge(s104t3word53,s104t6word5)
edge(s104t4word43,V2)	-edge(s104t4word43,s104t1word355)	-edge(s104t4word43,s104t2word682)	-edge(s104t4word43,s104t3word53)	+edge(s104t4word43,s104t5word683)	-edge(s104t4word43,s104t6word5)	-edge(s104t4word43,s104t7word102)	-edge(s104t4word43,s104t8word62)	-edge(s104t4word43,s104t9word63)
edge(s106t18word693,V2)	-edge(s106t18word693,s106t15word43)	-edge(s106t18word693,s106t16word5)	-edge(s106t18word693,s106t17word12)	+edge(s106t18word693,s106t19word295)	-edge(s106t18word693,s106t20word575)	-edge(s106t18word693,s106t21word43)	-edge(s106t18word693,s106t22word278)	-edge(s106t18word693,s106t23word692)
edge(s106t19word295,V2)	-edge(s106t19word295,s106t16word5)	-edge(s106t19word295,s106t17word12)	-edge(s106t19word295,s106t18word693)	+edge(s106t19word295,s106t20word575)	-edge(s106t19word295,s106t21word43)	-edge(s106t19word295,s106t22word278)	-edge(s106t19word295,s106t23word692)	-edge(s106t19word295,s106t24word254)
edge(s106t20word575,V2)	-edge(s106t20word575,s106t1word355)	-edge(s106t20word575,s106t2word95)	-edge(s106t20word575,s106t3word691)	-edge(s106t20word575,s106t4word228)	+edge(s106t20word575,s106t5word178)	-edge(s106t20word575,s106t6word43)	-edge(s106t20word575,s106t7word278)	-edge(s106t20word575,s106t8word692)	-edge(s106t20word575,s106t9word254)
edge(s106t21word43,V2)	-edge(s106t21word43,s106t18word693)	-edge(s106t21word43,s106t19word295)	-edge(s106t21word43,s106t20word575)	+edge(s106t21word43,s106t22word278)	-edge(s106t21word43,s106t23word692)	-edge(s106t21word43,s106t24word254)	-edge(s106t21word43,s106t25word5)	-edge(s106t21word43,s106t26word12)
edge(s106t22word278,V2)	-edge(s106t22word278,s106t23word692)	-edge(s106t22word278,s106t24word254)	-edge(s106t22word278,s106t25word5)	-edge(s106t22word278,s106t26word12)	+edge(s106t22word278,s106t27word174)	-edge(s106t22word278,s106t28word8)	-edge(s106t22word278,s106t29word648)	-edge(s106t22word278,s106t30word43)	-edge(s106t22word278,s106t31word5)
edge(s106t23word692,V2)	-edge(s106t23word692,s106t21word43)	-edge(s106t23word692,s106t22word278)	-edge(s106t23word692,s106t24word254)	+edge(s106t23word692,s106t25word5)	-edge(s106t23word692,s106t26word12)	-edge(s106t23word692,s106t27word174)	-edge(s106t23word692,s106t28word8)	-edge(s106t23word692,s106t29word648)
edge(s106t24word254,V2)	-edge(s106t24word254,s106t19word295)	-edge(s106t24word254,s106t20word575)	-edge(s106t24word254,s106t21word43)	-edge(s106t24word254,s106t22word278)	+edge(s106t24word254,s106t23word692)	-edge(s106t24word254,s106t25word5)	-edge(s106t24word254,s106t26word12)	-edge(s106t24word254,s106t27word174)
edge(s106t25word5,V2)	-edge(s106t25word5,s106t22word278)	-edge(s106t25word5,s106t23word692)	-edge(s106t25word5,s106t24word254)	+edge(s106t25word5,s106t26word12)	-edge(s106t25word5,s106t27word174)	-edge(s106t25word5,s106t28word8)	-edge(s106t25word5,s106t29word648)	-edge(s106t25word5,s106t30word43)
edge(s106t26word12,V2)	-edge(s106t26word12,s106t18word693)	-edge(s106t26word12,s106t19word295)	-edge(s106t26word12,s106t20word575)	-edge(s106t26word12,s106t21word43)	+edge(s106t26word12,s106t22word278)	-edge(s106t26word12,s106t23word692)	-edge(s106t26word12,s106t24word254)	-edge(s106t26word12,s106t25word5)
edge(s106t27word174,V2)	-edge(s106t27word174,s106t24word254)	-edge(s106t27word174,s106t25word5)	-edge(s106t27word174,s106t26word12)	+edge(s106t27word174,s106t28word8)	-edge(s106t27word174,s106t29word648)	-edge(s106t27word174,s106t30word43)	-edge(s106t27word174,s106t31word5)	-edge(s106t27word174,s106t32word12)
edge(s106t28word8,V2)	-edge(s106t28word8,s106t16word5)	-edge(s106t28word8,s106t17word12)	-edge(s106t28word8,s106t18word693)	-edge(s106t28word8,s106t19word295)	+edge(s106t28word8,s106t20word575)	-edge(s106t28word8,s106t21word43)	-edge(s106t28word8,s106t22word278)	-edge(s106t28word8,s106t23word692)	-edge(s106t28word8,s106t24word254)
edge(s106t29word648,V2)	-edge(s106t29word648,s106t27word174)	-edge(s106t29word648,s106t28word8)	-edge(s106t29word648,s106t30word43)	+edge(s106t29word648,s106t31word5)	-edge(s106t29word648,s106t32word12)
edge(s106t30word43,V2)	-edge(s106t30word43,s106t25word5)	-edge(s106t30word43,s106t26word12)	-edge(s106t30word43,s106t27word174)	-edge(s106t30word43,s106t28word8)	+edge(s106t30word43,s106t29word648)	-edge(s106t30word43,s106t31word5)	-edge(s106t30word43,s106t32word12)
edge(s106t31word5,V2)	-edge(s106t31word5,s106t28word8)	-edge(s106t31word5,s106t29word648)	-edge(s106t31word5,s106t30word43)	+edge(s106t31word5,s106t32word12)
edge(s106t32word12,V2)	-edge(s106t32word12,s106t24word254)	-edge(s106t32word12,s106t25word5)	-edge(s106t32word12,s106t26word12)	-edge(s106t32word12,s106t27word174)	+edge(s106t32word12,s106t28word8)	-edge(s106t32word12,s106t29word648)	-edge(s106t32word12,s106t30word43)	-edge(s106t32word12,s106t31word5)
edge(s107t1word189,V2)	+edge(s107t1word189,s107t2word174)	-edge(s107t1word189,s107t3word21)	-edge(s107t1word189,s107t4word694)	-edge(s107t1word189,s107t5word586)	-edge(s107t1word189,s107t6word695)
edge(s107t2word174,V2)	-edge(s107t2word174,s107t1word189)	+edge(s107t2word174,s107t3word21)	-edge(s107t2word174,s107t4word694)	-edge(s107t2word174,s107t5word586)	-edge(s107t2word174,s107t6word695)	-edge(s107t2word174,s107t7word384)
edge(s107t3word21,V2)	-edge(s107t3word21,s107t1word189)	-edge(s107t3word21,s107t2word174)	-edge(s107t3word21,s107t4word694)	+edge(s107t3word21,s107t5word586)	-edge(s107t3word21,s107t6word695)	-edge(s107t3word21,s107t7word384)	-edge(s107t3word21,s107t8word115)	-edge(s107t3word21,s107t9word696)
edge(s107t4word694,V2)	-edge(s107t4word694,s107t1word189)	-edge(s107t4word694,s107t2word174)	+edge(s107t4word694,s107t3word21)	-edge(s107t4word694,s107t5word586)	-edge(s107t4word694,s107t6word695)	-edge(s107t4word694,s107t7word384)
edge(s107t5word586,V2)	-edge(s107t5word586,s107t4word694)	-edge(s107t5word586,s107t6word695)	-edge(s107t5word586,s107t7word384)	+edge(s107t5word586,s107t8word115)	-edge(s107t5word586,s107t9word696)	-edge(s107t5word586,s107t10word697)	-edge(s107t5word586,s107t11word694)
